#country_of_birth	B*07	B*08	B*13	B*14	B*15	B*18	B*27	B*35	B*37	B*38	B*39	B*40	B*41	B*42	B*44	B*45	B*46	B*47	B*48	B*49	B*50	B*51	B*52	B*53	B*54	B*55	B*56	B*57	B*58	B*59	B*67	B*70	B*73	B*78	B*81	B*82	n
Sweden	76	56	6	4	46	15	21	24	9	4	6	36	2	0	64	2	0	2	2	2	2	12	1	0	0	6	1	14	0	0	0	0	0	0	0	0	413
Switzerland	43	26	12	7	35	9	17	31	6	5	2	24	6	0	38	1	0	1	1	6	5	27	2	1	0	2	2	8	4	0	0	0	1	0	0	0	322
Syria	1	1	1	3	3	1	0	6	0	2	0	1	5	0	3	2	0	0	0	2	6	6	1	0	0	0	0	1	2	0	0	0	0	0	0	0	47
Tanzania	80	58	17	9	37	18	20	67	19	12	5	39	7	4	71	8	0	0	0	8	18	55	47	3	0	18	0	47	28	0	0	0	1	0	1	0	697
Thailand	10	6	14	2	16	3	3	7	3	5	0	22	0	0	16	0	25	0	0	0	0	6	4	0	2	1	0	4	16	0	0	0	0	0	0	0	165
The Guianas	52	23	8	16	55	11	7	50	4	4	1	22	4	17	48	23	5	1	0	14	10	16	17	40	1	4	0	25	39	0	0	0	0	5	7	0	529
Turkey	17	11	11	11	6	17	11	43	3	14	0	7	3	0	32	1	0	0	0	14	7	36	16	3	2	11	2	3	5	0	0	0	0	0	0	0	286
Uganda	89	81	32	17	66	41	10	84	21	9	10	54	5	21	96	25	0	3	5	20	25	59	52	26	0	14	4	70	61	0	0	0	1	0	11	0	1012
Ukraine	17	8	10	3	2	15	3	10	0	3	1	5	4	0	12	0	0	0	1	1	1	7	4	0	0	1	1	4	1	0	0	0	0	0	0	0	114
United Kingdom	116	121	18	43	50	25	28	54	10	7	14	52	4	0	138	3	0	3	1	12	12	32	9	5	0	18	4	32	8	0	0	0	0	0	0	0	819
USA	351	298	69	148	145	123	79	184	38	90	28	144	33	3	361	18	2	8	3	50	32	131	37	11	2	50	4	89	21	0	0	0	1	0	0	0	2553
Venezuela	9	15	3	7	9	4	4	6	2	1	2	3	0	3	15	3	0	1	0	2	2	5	0	2	0	3	0	5	0	0	0	0	0	0	0	0	106
Vietnam	10	1	9	0	24	0	4	5	2	6	0	14	0	0	2	0	20	0	2	0	0	3	1	0	6	0	0	4	11	0	0	0	0	0	0	0	124
Wales	6316	6633	632	1738	2313	1469	1733	2149	606	352	554	2899	183	16	7302	428	3	172	5	405	305	1397	171	98	1	902	79	1630	284	0	0	0	10	3	2	0	40790
Yemen	20	22	7	8	14	3	1	11	4	4	4	11	2	2	20	2	0	1	0	1	7	9	6	1	0	5	1	9	4	0	0	0	3	0	0	0	182
Zambia	53	49	11	21	40	13	13	20	2	4	5	28	2	7	68	5	0	2	0	8	2	10	6	14	0	10	3	24	17	0	0	0	0	0	4	0	441
Zimbabwe	156	145	23	38	129	63	29	59	11	13	13	50	12	63	162	36	0	1	0	12	11	47	13	46	1	16	2	66	71	0	0	0	1	0	39	0	1328
